"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Replies,"Link clicks",Navigation,"Profile visits",Follows,"Sticker taps"
17862847377379025,17841401475580469,nicki.entenmann,"Nicki Entenmann","I’ve battled My body
the majority of my life,

But last June I decided to give it my all for one entire year. 
No excuses, no pity parties, not giving up when things got hard. 

I just did the work day after day. I stopped blaming being a mom, 
my hormones, weekends, time
and did it messy. 

Most months I had zero change. 
And really the last 3 months-
I’m reaping all the hard work. 

Most people give up right before it gets good. 
If you’re sick of starting over, stop stopping  June 2024",22,"04/06/2025 15:08",https://instagram.com/stories/nicki.entenmann/3605065397499352545,"IG story",,Lifetime,17064,16273,100,2,17,,16100,15,,
18064386530479641,17841401475580469,nicki.entenmann,"Nicki Entenmann","Prioritized my faith

Less scrolling, more reading 

Stopped allocating time trying to be liked by all and focus strengthening the relationships that matter most

Said no more than yes 

Traveled 

Good skincare

Worked out really hard 

This has been such a great year 
for me and trust God to 
continue to bless it",0,"04/06/2025 14:59",,"IG story",,Lifetime,15389,15015,161,1,16,,18986,17,1,
17886675192245771,17841401475580469,nicki.entenmann,"Nicki Entenmann","Thank you!!! I have been in a deficit since January
 (and v strict!) 

I actually hit 
my goal of today 🥳🥳
 (I’m 143 lbs-
wanted to be 145)
so im putting myself 
back in maintence and 
maybe even a little over. 

I have lost a couple lbs of muscle (which is fine when I’ve lost 17 lbs) but I’d like to
make sure I’m staying fueled
to build and be strong for Hyrox",0,"04/06/2025 14:48",https://instagram.com/stories/nicki.entenmann/3605055376489938486,"IG story",,Lifetime,17685,16753,158,3,39,,17834,24,,
18056219984176734,17841401475580469,nicki.entenmann,"Nicki Entenmann","72 hours post RF microneedling  Good! It’s more sandpaper like now and doesn’t hurt at all! 

 I did a “stomach” highlight too",0,"04/06/2025 14:44",https://instagram.com/stories/nicki.entenmann/3605053154213329306,"IG story",,Lifetime,16831,16437,49,3,6,,14880,37,,
18504291451042281,17841401475580469,nicki.entenmann,"Nicki Entenmann","✨ ✨ ✨ ✨ Ran with my girls today 🤜🏼🤛🏼
🦌🦌🦌 ✨",0,"04/06/2025 14:40",,"IG story",,Lifetime,17257,16685,76,0,0,,17991,11,,2
17903054373149498,17841401475580469,nicki.entenmann,"Nicki Entenmann","@hyroxamerica 8 weeks from today 😮‍💨 Followed by 100M lunges",6,"04/06/2025 14:15",,"IG story",,Lifetime,18333,17739,74,0,8,,15889,18,,257
18081927691581583,17841401475580469,nicki.entenmann,"Nicki Entenmann","Another blessing from God to wake up and run in His beautiful creation 🙏🏼☀️🐦‍⬛",15,"04/06/2025 14:00",,"IG story",,Lifetime,20196,19428,232,1,18,,19681,95,,
18476265175071240,17841401475580469,nicki.entenmann,"Nicki Entenmann","Elite combo",0,"04/05/2025 16:20",,"IG story",,Lifetime,13104,12848,56,0,14,,13904,20,,
17905088799039051,17841401475580469,nicki.entenmann,"Nicki Entenmann","Sports canceled cuz of ❄️

Anyone see the new Minecraft movie yet?!",0,"04/05/2025 09:26",,"IG story",,Lifetime,14682,14324,37,0,26,,15633,11,,
18091464946512032,17841401475580469,nicki.entenmann,"Nicki Entenmann","Casual date night",0,"04/05/2025 09:23",,"IG story",,Lifetime,15163,14455,113,1,25,1042,15407,8,1,
17974567424833695,17841401475580469,nicki.entenmann,"Nicki Entenmann",,11,"04/05/2025 09:22",,"IG story",,Lifetime,15040,14598,26,0,6,225,12915,9,,
17902188126050811,17841401475580469,nicki.entenmann,"Nicki Entenmann","@kodiakcakes choc chip protein waffle dipped in coffee is elite 
💅💅💅",5,"04/05/2025 08:30",,"IG story",,Lifetime,15590,15100,59,0,3,,14795,25,1,19
17882574153258124,17841401475580469,nicki.entenmann,"Nicki Entenmann",,0,"04/04/2025 12:05",,"IG story",,Lifetime,11730,11575,13,0,1,73,12461,37,,
18494982538052887,17841401475580469,nicki.entenmann,"Nicki Entenmann",,0,"04/04/2025 12:04",,"IG story",,Lifetime,11964,11765,17,1,0,71,12371,5,1,
18185548102312581,17841401475580469,nicki.entenmann,"Nicki Entenmann","@rocketmoney #ad",56,"04/04/2025 11:57",,"IG story",,Lifetime,12860,12580,17,0,1,38,13451,3,,
17901181485158288,17841401475580469,nicki.entenmann,"Nicki Entenmann","@rocketmoney #ad  Ty’s nerdy spreadsheet
 < rocket money app",55,"04/04/2025 11:56",,"IG story",,Lifetime,13145,12856,22,0,3,26,14033,8,,
18075756154696253,17841401475580469,nicki.entenmann,"Nicki Entenmann","Taco meat, Greek yogurt, 
a little cheese  Sweet potato 
(Air fryer) Lettuce & 🥑 Another day, another basic b meal",0,"04/04/2025 11:43",,"IG story",,Lifetime,13631,13190,50,0,8,259,14199,8,,
18060592028287116,17841401475580469,nicki.entenmann,"Nicki Entenmann","Heavily requested 
what I eat in a day 💅",15,"04/04/2025 11:35",,"IG story",,Lifetime,14177,13384,80,1,13,,14311,19,,
18083490601720192,17841401475580469,nicki.entenmann,"Nicki Entenmann","CRIMINAL BEHAVIOR  Me if I tried to free lip like the 5k+ of you who voted no undies with the leggings yesterday 😮‍💨",7,"04/04/2025 11:24",,"IG story",,Lifetime,13575,12998,70,13,84,,11556,16,,
18086649268608907,17841401475580469,nicki.entenmann,"Nicki Entenmann","Much lighter/glowy on the skincare in spring
Letting my skin breath and not going heavy on makeup 
Washing makeup brushes weekly",55,"04/04/2025 11:09",,"IG story",,Lifetime,14087,13387,31,0,5,,14568,42,,
17848511781411131,17841401475580469,nicki.entenmann,"Nicki Entenmann","Looks more painful than it feels! All good in the hood over here",50,"04/04/2025 10:57",https://instagram.com/stories/nicki.entenmann/3603489797655609999,"IG story",,Lifetime,18025,16254,77,3,20,,13516,40,,
17927870724044174,17841401475580469,nicki.entenmann,"Nicki Entenmann","That spring snow tho 🥵😒",32,"04/03/2025 14:38",,"IG story",,Lifetime,15298,14572,91,2,42,,16386,63,,
18072412924889827,17841401475580469,nicki.entenmann,"Nicki Entenmann","This set is old but I did link a bunch of others that are in major clearance",0,"04/03/2025 13:55",,"IG story",,Lifetime,15002,14459,28,1,2,543,15971,14,,
18011223470720250,17841401475580469,nicki.entenmann,"Nicki Entenmann","Burger  Bagged sunflower 
crunch salad  Sweet potatooooo Food = Fuel",0,"04/03/2025 13:41",https://instagram.com/stories/nicki.entenmann/3602847507933626783,"IG story",,Lifetime,16177,15140,66,0,4,1,15998,9,,
18173960434325661,17841401475580469,nicki.entenmann,"Nicki Entenmann","On Amazon-love this brand
Under $20 
I’m in size 9 (same as my Oura)",35,"04/03/2025 13:37",,"IG story",,Lifetime,15866,15013,39,14,7,767,16859,5,,
17884984059250000,17841401475580469,nicki.entenmann,"Nicki Entenmann","My goal is to never push anyone to try 
anything if they don’t want to- it is and will 
always be to be honest, share new technology
 that’s out there and share my journey 
and I hope you all understand that 🫶🏻",0,"04/03/2025 13:35",,"IG story",,Lifetime,15471,15012,75,0,12,,15570,6,,
18091435573580188,17841401475580469,nicki.entenmann,"Nicki Entenmann",JAIL,13,"04/03/2025 13:02",,"IG story",,Lifetime,16121,15405,33,1,11,,15954,11,,
18020889521676006,17841401475580469,nicki.entenmann,"Nicki Entenmann","NICKI15 should work for 15% off !  Tanning lotion vs foam",60,"04/03/2025 12:57",,"IG story",,Lifetime,16062,15350,24,6,2,94,16545,6,,
17890374723214816,17841401475580469,nicki.entenmann,"Nicki Entenmann","BE GONE BALL SACK TUMMY SKIN",20,"04/03/2025 12:52",https://instagram.com/stories/nicki.entenmann/3602822767596633930,"IG story",,Lifetime,19177,17610,52,2,28,,13550,11,,
18054999059183657,17841401475580469,nicki.entenmann,"Nicki Entenmann","3 hour update:  Went to @longevitylabwellness if you’re local!",52,"04/03/2025 12:51",https://instagram.com/stories/nicki.entenmann/3602822429586174845,"IG story",,Lifetime,20098,18166,42,12,8,,14001,6,,97
18072315052687436,17841401475580469,nicki.entenmann,"Nicki Entenmann","@thrivemarket  @thrivemarket #thrivemarketpartner  Online grocery store that cares about you!  Use this link and you’ll get 25% off select sale items PLUS an extra 30% off your first order and a free gift!",0,"04/03/2025 11:12",,"IG story",,Lifetime,18038,17202,17,0,0,40,18766,14,,
18058332863283613,17841401475580469,nicki.entenmann,"Nicki Entenmann","@longevitylabwellness out here doing the Lords work",9,"04/03/2025 09:50",https://instagram.com/stories/nicki.entenmann/3602730978914611684,"IG story",,Lifetime,22881,20718,66,3,20,,18060,16,,132
18054548063175162,17841401475580469,nicki.entenmann,"Nicki Entenmann","She’s 
A 
Survivor",0,"04/03/2025 09:48",,"IG story",,Lifetime,19774,18752,57,0,8,,23360,9,,
18296775001169802,17841401475580469,nicki.entenmann,"Nicki Entenmann","My lips could never just raw dog leggings! 

Thong girl thru and thru 🫡",0,"04/03/2025 08:22",,"IG story",,Lifetime,21803,20300,33,11,68,,21858,37,,
17926005612045694,17841401475580469,nicki.entenmann,"Nicki Entenmann",,60,"04/03/2025 08:19",https://instagram.com/stories/nicki.entenmann/3602685587946995997,"IG story",,Lifetime,26510,23249,51,6,15,,22234,39,,
17970978923845927,17841401475580469,nicki.entenmann,"Nicki Entenmann","Ok I rarely say you “need” something. But these thongs designed specifically for workouts are 100/10. 

DIDNT budge an inch on leg day!

Not a pedgie to be seen 💅💅
I’m in size m",27,"04/02/2025 13:44",,"IG story",,Lifetime,20240,17632,54,10,22,2213,20975,51,,
18064311967807479,17841401475580469,nicki.entenmann,"Nicki Entenmann","Wore these constantly last month
All links and colors here",60,"04/02/2025 10:35",,"IG story",,Lifetime,11667,11250,18,0,4,146,11823,20,1,
17961669383874445,17841401475580469,nicki.entenmann,"Nicki Entenmann","Ok I don’t go crazy over every drop but this one omggggg The stripes 🥹",0,"04/02/2025 10:23",,"IG story",,Lifetime,11835,11543,12,6,0,91,12257,10,,
